thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,Tgt.OffsetTime,trial.rt,trial.target_dur,Fix_after_target.OnsetTime,Fix_after_target.OffsetTime,Fix_after_target.Duration,Fix_ITI.OnsetTime,Fix_ITI.OffsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,trial.reward,MRT,Cue.OnsetTime,Cue.OffsetTime,Cue.Duration,Dly.OnsetTime,Dly.OffsetTime,Dly.Duration,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,Fb.OffsetTime,Fb.Duration,trial.too_slow_rt,trial.too_fast_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,date,expName,frameRate,
,,76698986898967689,1,0,Fri May  1 11:59:40 2026,11,loss.high,95.31217124999966,95.79472591698868,0.21744070897693746,0.48,95.79773054199177,99.58821675000945,3.7905255000223406,99.58950708399061,101.58835083400481,1.9988829589856323,6.276350917003583,101.5883890420082,13.0,,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:59:47 2026,12,loss.low,101.58904620900284,102.08004241698654,0.31024729198543355,0.48,102.08437437500106,105.7796158749843,3.695276041980833,105.78048704200773,111.78390287500224,6.003458584018517,10.19520499999635,111.78396562501439,13.0,,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 11:59:57 2026,13,reward.neut,111.78464866700233,112.25064545898931,0.23662208297173493,0.46,112.25468183399062,116.02567004199955,3.7710175000247546,116.02649225000641,120.02982712499215,4.003390209021745,8.245532416010974,120.02990233298624,13.0,0.0,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 12:00:05 2026,14,loss.neut,120.03082570899278,120.49639433398261,0.26826012501260266,0.46,120.50066487499862,124.23267295898404,3.732036583009176,124.23343674998614,130.24632412500796,6.012920458015287,10.215915625012713,130.24636329201167,13.0,,,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,0,Fri May  1 12:00:15 2026,15,loss.high,130.24688316698303,130.7084586249839,0.2704234169796109,0.46,130.71113570898888,134.4464899589948,3.7353888750076294,134.44760733400472,138.45460416699643,4.007030791981379,8.207955124991713,138.45463666701107,13.0,,0.2751419751982515,,,,,,,,,,,,,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,1,Fri May  1 12:00:46 2026,1,loss.low,9.14814341699821,9.434209708007984,0.24065787499421276,0.275,9.43958050000947,11.084369707998121,1.6448505830194335,13.086628958000802,17.096991583006456,4.010429832997033,12.0864896250132,172.6058297920099,0,,,5.012463000020944,7.021800542017445,2.009394833003171,7.023091542010661,9.147127792006359,2.1241020419984125,1,"Hit!
$0.00",0,11.097360957995988,13.072501582995756,1.9751352909952402,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,1,Fri May  1 12:00:58 2026,2,loss.neut,21.58451412501745,21.861332000000402,0.10789220800506882,0.275,21.86490287500783,23.27641729201423,1.4115485420043115,25.28965583301033,29.296451792004518,4.00685491701006,12.198936291999416,184.80529925000155,0,,,17.099117833015043,19.100778791995253,2.0017159169947263,19.10198066700832,21.583945958002005,2.4820231670164503,1,"Hit!
$0.00",0,23.276554042007774,25.27143012502347,1.9948710830067284,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,1,Fri May  1 12:01:10 2026,3,loss.low,33.58056533301715,33.83826429201872,0.22560595901450142,0.255,33.843273625010625,35.3380981250084,1.494865665998077,37.343427832995076,43.35484495799756,6.011463083006674,14.057803833013168,198.86367691701162,0,,,29.298019625013694,31.300084500020603,2.0021672089933418,31.301238167012343,33.579937792004785,2.27876637497684,1,"Hit!
$0.00",0,35.3383909999975,37.330020749999676,1.99161404199549,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,1,Fri May  1 12:01:24 2026,4,reward.neut,47.73861533301533,48.014221542020096,0.23256079098791815,0.275,48.0188915420149,49.41308112500701,1.3942270000115968,51.41436145800981,55.42100479200599,4.006678875011858,12.065753125003539,210.92982595801004,0.0,0.0,,43.3565004170232,45.3629900420201,2.0065332500089426,45.363875708018895,47.73807775002206,2.3742535000201315,1,"Hit!
$0.00",0.0,49.41337241700967,51.4131899579952,1.9998037909972481,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
,,76698986898967689,1,1,Fri May  1 12:01:36 2026,5,loss.high,59.817776083014905,60.105149042006815,0.230034833017271,0.275,60.11008787501487,61.48805637500482,1.3780107500206213,63.49255729201832,65.49168054200709,1.999173541989876,10.070404708007118,221.00052833301015,0.0,,,55.42247254200629,57.42387329202029,2.001442666980438,57.42465191701194,59.81722887500655,2.3926264159963466,1,"Hit!
$0.00",0.0,61.488403416995425,63.47998745800578,1.9915690830093808,,,76698986898967689,1,yes,yes,no,0,2,2026-05-01_11h57.48.547,MID1.1,None,
