thisRow.t,notes,subid,session,run,trial.system.time,trial.number,trial.type,Tgt.OnsetTime,Tgt.OffsetTime,trial.rt,trial.target_dur,Fix_after_target.OnsetTime,Fix_after_target.OffsetTime,Fix_after_target.Duration,Fix_ITI.OnsetTime,Fix_ITI.OffsetTime,Fix_ITI.Duration,time.trial,time.global,Winnings,trial.reward,trial.too_slow_rt,MRT,Cue.OnsetTime,Cue.OffsetTime,Cue.Duration,Dly.OnsetTime,Dly.OffsetTime,Dly.Duration,trial.too_fast_rt,Tgt.ACC,Tgt.ACCfeedback,total_earnings,Fb.OnsetTime,Fb.OffsetTime,Fb.Duration,trial.cue_rt,participant,session,fMRI? (yes or no),fMRI trigger on TTL? (yes or no),fMRI reverse screen? (yes or no),start run (0-2),task screen,date,expName,frameRate,
,,587968758647536,1,1,Fri May  1 11:15:08 2026,40,loss.high,470.32736091598053,470.5476878749905,,0.218,470.55569095799,472.1308811659983,1.5752319999737665,474.13565941600245,478.13537249999354,3.999759083002573,12.00822629200411,627.3652357920073,4.5,-5.0,0.0028457079846615496,,466.1275437079894,468.1393737079925,2.0118630419892725,468.1403889579815,470.32678287499584,2.1864477499912027,,3,"Miss!
-$5.00",4.5,472.1364324159804,474.1227539999818,1.986307624989422,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,1,Fri May  1 11:15:20 2026,41,loss.low,482.2443089580047,482.48498750000726,,0.238,482.48999362500035,484.189451415994,1.6995164580002893,486.19389479098027,492.19760195800336,6.003761291998671,14.06168895898736,641.42748170899,3.0,-1.5,0.008942417007226977,,478.1366034160019,480.14770337499795,2.011139833019115,480.1486471660028,482.2436784580059,2.0950931670085993,,3,"Miss!
-$1.50",3.0,484.1946631659812,486.18114720800077,1.9864699580066372,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,1,Fri May  1 11:15:34 2026,42,loss.high,496.60672116599744,496.8560857499833,0.0661765840195585,0.238,496.8608545830066,498.3927297499904,1.5319189580040984,500.3987410829868,506.4103143749817,6.011630666995188,14.21208908301196,655.6401934589958,-2.0,-5.0,,,492.1991689160059,494.20202062500175,2.0029045830015093,494.20325166598195,496.6059575410036,2.4027749999950174,2.100574874988215,2,"Miss!
-$5.00",-2.0,498.39805424999213,500.3894798749825,1.9914111669932026,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,1,Fri May  1 11:15:48 2026,43,loss.high,510.9186669999908,511.180584791,0.19320433397660963,0.258,511.18204924999736,512.5062047079846,1.3241872919898015,514.520394791005,520.5268434580066,6.006556125008501,14.11596779100364,669.7567759999947,-2.0,,,,506.4116571659979,508.4184409159934,2.006830166996224,508.4194827080064,510.9183992079925,2.498966624989407,,1,"Hit!
$0.00",-2.0,512.5110660000064,514.4939645830018,1.9828843750001397,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,1,Fri May  1 11:16:02 2026,44,reward.high,524.7442407079798,525.0521739999822,0.23372583300806582,0.298,525.0585850829957,526.6269812499813,1.5684532090090215,528.6326539159927,534.6392704999889,6.006672375020571,14.111797624995233,683.8691489170014,3.0,5.0,,,520.5284339579812,522.5352962079924,2.0069252499961294,522.5365613749891,524.7435767909919,2.2070833330217283,,1,"Hit!
+$5.00",3.0,526.6321960409987,528.6186697079975,1.9864582500013057,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,1,Fri May  1 11:16:16 2026,45,loss.neut,538.9567857079965,539.2164593329944,0.2169047499774024,0.258,539.218665583001,540.7061710410053,1.4875434999994468,542.7108939159953,546.7144759579969,4.003623791999416,12.074600583990104,695.944354709005,3.0,,,,534.6406190829875,536.6438247080077,2.0032556249934714,536.6449720829842,538.9561735409952,2.3112567079951987,,1,"Hit!
$0.00",3.0,540.7121181660041,542.6978250829852,1.9856967499945313,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,1,Fri May  1 11:16:28 2026,46,loss.low,551.173319583002,551.3967428329925,0.002879250008845702,0.218,551.3982967080083,552.959977749997,1.5617284580075648,554.9657886659843,558.9685544999957,4.002818541019224,12.253683457995066,708.1984256249852,1.5,-1.5,,,546.7154366659815,548.7225089579879,2.007113666011719,548.7234944579832,551.1728094159917,2.4493629579956178,1.9541461249964143,2,"Miss!
-$1.50",1.5,552.9656310830032,554.956486332987,1.9908401249849703,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,1,Fri May  1 11:16:41 2026,47,reward.neut,563.3611910409818,563.6102872499905,0.2161351660033688,0.238,563.614585540985,565.0227641660022,1.4082234999805223,567.0282465000055,571.0310498749895,4.0028555000026245,12.06188337499043,720.2609329999832,1.5,0.0,,,558.969924999983,560.9812117499823,2.0113376250083093,560.982443624991,563.3605218330049,2.3781467499793507,,1,"Hit!
$0.00",1.5,565.0280650829955,567.0189231660042,1.9908428330090828,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,1,Fri May  1 11:16:53 2026,48,reward.neut,575.3772538749909,575.6020199159975,,0.218,575.6069282499957,577.0853743749904,1.4784935420029797,579.0948302909965,585.101778124983,6.007004624989349,14.070117833005497,734.3316575420031,1.5,,0.034115417029916495,0.22813740188257625,571.0324700829806,573.035188290989,2.0027634169964585,573.0363164999872,575.3769488749967,2.340687167015858,,3,"Miss!
$0.00",1.5,577.0905841249914,579.0855103750073,1.9949164590216242,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
,,587968758647536,1,2,Fri May  1 11:17:31 2026,1,reward.high,9.42308520898223,9.752302167005837,0.24382525001419708,0.318,9.755035124981077,11.118130499991821,1.3631429170200136,13.12279758398654,19.12224191700807,5.999491291004233,14.107642833987484,773.0358682090009,6.5,5.0,,,5.015294708980946,7.022477374994196,2.00722862497787,7.023595916980412,9.422317916993052,2.3987772909749765,,1,"Hit!
+$5.00",6.5,11.12350216699997,13.110098874982214,1.9865860829886515,,587968758647536,1,yes,yes,no,0,2,2026-05-01_11h04.36.099,MID1.1,None,
